Part: ArmDraft7:3\TMOTOR_U5_400kv:1 Location: X=0.0158433 m, Y=0.0011100 m, Z=-0.0158351 m
Part: ArmDraft7:3\DIN 912 - replaced by DIN EN ISO 4762 M3 x 10:1 Location: X=0.0158433 m, Y=0.0004000 m, Z=-0.0167851 m
Part: ArmDraft7:3\DIN 912 - replaced by DIN EN ISO 4762 M3 x 10:2 Location: X=0.0167933 m, Y=0.0004000 m, Z=-0.0158351 m
Part: ArmDraft7:3\DIN 912 - replaced by DIN EN ISO 4762 M3 x 10:3 Location: X=0.0148933 m, Y=0.0004000 m, Z=-0.0158351 m
Part: ArmDraft7:3\DIN 912 - replaced by DIN EN ISO 4762 M3 x 10:4 Location: X=0.0158433 m, Y=0.0004000 m, Z=-0.0148851 m
Part: ArmDraft7:3\CFRP_pipe_10mm:1 Location: X=0.0093760 m, Y=-0.0108780 m, Z=-0.0093679 m
Part: ArmDraft7:3\landingFoot_Draft2:1 Location: X=0.0093924 m, Y=-0.0110516 m, Z=-0.0093842 m
Part: ArmDraft7:3\HQ_0MacroQuad_Prop_10:1 Location: X=0.0158433 m, Y=0.0048600 m, Z=-0.0158351 m
Part: ArmDraft7:4 Location: X=0.0067216 m, Y=0.0000100 m, Z=0.0067134 m
Part: ArmDraft7:4\Draft5_ver7_auto:1 Location: X=0.0067216 m, Y=0.0000100 m, Z=0.0067134 m
Part: ArmDraft7:4\experimentalBlock_ver2:1 Location: X=0.0054151 m, Y=-0.0007093 m, Z=0.0053928 m
Part: ArmDraft7:4\TMOTOR_U5_400kv:1 Location: X=0.0158433 m, Y=0.0011100 m, Z=0.0158351 m
Part: ArmDraft7:4\DIN 912 - replaced by DIN EN ISO 4762 M3 x 10:1 Location: X=0.0167933 m, Y=0.0004000 m, Z=0.0158351 m
Part: ArmDraft7:4\DIN 912 - replaced by DIN EN ISO 4762 M3 x 10:2 Location: X=0.0158433 m, Y=0.0004000 m, Z=0.0167851 m
Part: ArmDraft7:4\DIN 912 - replaced by DIN EN ISO 4762 M3 x 10:3 Location: X=0.0158433 m, Y=0.0004000 m, Z=0.0148851 m
Part: ArmDraft7:4\DIN 912 - replaced by DIN EN ISO 4762 M3 x 10:4 Location: X=0.0148933 m, Y=0.0004000 m, Z=0.0158351 m
Part: ArmDraft7:4\CFRP_pipe_10mm:1 Location: X=0.0093760 m, Y=-0.0108780 m, Z=0.0093679 m
Part: ArmDraft7:4\landingFoot_Draft2:1 Location: X=0.0093924 m, Y=-0.0110516 m, Z=0.0093842 m
Part: ArmDraft7:4\HQ_0MacroQuad_Prop_10:1 Location: X=0.0158433 m, Y=0.0048600 m, Z=0.0158351 m
Part: cablesssss Location: X=0.0000000 m, Y=0.0000000 m, Z=0.0000000 m
Part: cablesssss\cablesssss Location: X=0.0000000 m, Y=0.0000000 m, Z=0.0000000 m
Part: cablesssss\HA_VC_102:1 Location: X=0.0000000 m, Y=0.0000000 m, Z=0.0000000 m
Part: cablesssss\HA_VC_105:1 Location: X=0.0000000 m, Y=0.0000000 m, Z=0.0000000 m
Part: cablesssss\HA_VC_108:1 Location: X=0.0000000 m, Y=0.0000000 m, Z=0.0000000 m
Part: cablesssss\HA_VC_111:1 Location: X=0.0000000 m, Y=0.0000000 m, Z=0.0000000 m
Part: cablesssss\HA_VC_114:1 Location: X=0.0000000 m, Y=0.0000000 m, Z=0.0000000 m
Part: cablesssss\HA_VC_117:1 Location: X=0.0000000 m, Y=0.0000000 m, Z=0.0000000 m
Part: cablesssss\HA_VC_120:1 Location: X=0.0000000 m, Y=0.0000000 m, Z=0.0000000 m
Part: cablesssss\HA_VC_123:1 Location: X=0.0000000 m, Y=0.0000000 m, Z=0.0000000 m
Part: cablesssss\HA_VC_126:1 Location: X=0.0000000 m, Y=0.0000000 m, Z=0.0000000 m
Part: cablesssss\HA_VC_129:1 Location: X=0.0000000 m, Y=0.0000000 m, Z=0.0000000 m
Part: cablesssss\HA_VC_132:1 Location: X=0.0000000 m, Y=0.0000000 m, Z=0.0000000 m
Part: cablesssss\HA_VC_135:1 Location: X=0.0000000 m, Y=0.0000000 m, Z=0.0000000 m
Part: cablesssss\HA_VC_139:1 Location: X=0.0000000 m, Y=0.0000000 m, Z=0.0000000 m
Part: cablesssss\HA_VC_144:1 Location: X=0.0000000 m, Y=0.0000000 m, Z=0.0000000 m
Part: cablesssss\HA_VC_235:1 Location: X=0.0000000 m, Y=0.0000000 m, Z=0.0000000 m
Part: cablesssss\HA_VC_238:1 Location: X=0.0000000 m, Y=0.0000000 m, Z=0.0000000 m
Part: cablesssss\HA_VC_262:1 Location: X=0.0000000 m, Y=0.0000000 m, Z=0.0000000 m

=== Assembly Physical Properties ===
Total Mass: 2.65686 kg
Volume: 1.58717 m³
Center of Gravity: X=0.00323 m, Y=-0.014 m, Z=-0.000 m
